City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,namie,37.4833,141.0,5.4,78,12,3.61,JP,1670348207
319,prince rupert,54.3161,-130.3201,3.83,93,100,7.2,CA,1670348207
320,taltal,-25.4,-70.4833,21.22,67,76,3.64,CL,1670347979
321,bako,5.7833,36.5667,20.46,56,71,1.28,ET,1670348208
322,beruwala,6.4788,79.9828,24.78,84,100,5.29,LK,1670348208
323,chuy,-33.6971,-53.4616,27.52,46,0,4.43,UY,1670348209
324,bathsheba,13.2167,-59.5167,29.34,58,20,3.6,BB,1670348209
325,araruama,-22.8728,-42.3431,25.03,94,100,2.49,BR,1670348210
326,shingu,33.7333,135.9833,5.12,74,12,3.07,JP,1670348210
327,takoradi,4.8845,-1.7554,26.66,82,59,4.25,GH,1670348211
328,poum,-20.2333,164.0167,26.48,77,87,1.19,NC,1670348211
329,mishima,35.1167,138.9167,7.12,79,16,1.8,JP,1670348211
330,khuzhir,53.1939,107.3397,-8.6,66,50,6.47,RU,1670348212
331,stettler,52.3168,-112.7186,-32.14,68,81,1.54,CA,1670348212
332,juba,4.8517,31.5825,24.81,66,46,2.21,SS,1670348213
333,tucumcari,35.1717,-103.725,14.41,44,21,7.72,US,1670347989
334,mount gambier,-37.8333,140.7667,8.07,95,15,2.01,AU,1670348094
335,iskateley,67.6803,53.1512,-9.56,91,100,7.09,RU,1670348214
336,naze,28.3667,129.4833,14.51,64,26,7.25,JP,1670348214
337,port macquarie,-31.4333,152.9167,15.5,89,75,1.57,AU,1670348214
338,ukiah,39.1502,-123.2078,10.61,90,20,0.0,US,1670348022
339,sao filipe,14.8961,-24.4956,23.48,70,4,2.32,CV,1670348215
340,bachaquero,9.9694,-71.1494,28.17,65,23,2.55,VE,1670348052
341,tingo maria,-9.2895,-76.0088,25.17,69,75,1.54,PE,1670348216
342,nakamura,32.9833,132.9333,4.86,79,61,1.93,JP,1670348216
343,ambovombe,-25.1667,46.0833,26.17,74,54,2.5,MG,1670348216
344,challans,46.8436,-1.8749,5.54,89,23,4.66,FR,1670348217
345,eyl,7.9803,49.8164,25.38,72,98,7.79,SO,1670348217
346,yerbogachen,61.2767,108.0108,-11.46,93,100,5.75,RU,1670348218
347,merauke,-8.4667,140.3333,24.82,85,61,4.48,ID,1670348218
348,ilinskaya,45.7219,40.7211,-3.48,47,4,8.39,RU,1670348218
349,pangoa,-12.1167,-73.0,32.3,38,87,2.19,PE,1670348219
350,ilulissat,69.2167,-51.1,5.01,60,75,5.14,GL,1670348219
351,sibolga,1.7427,98.7792,24.14,94,100,2.49,ID,1670348220
352,berlevag,70.8578,29.0864,2.0,87,75,8.23,NO,1670348220
353,mindelo,16.8901,-24.9804,25.75,50,0,6.17,CV,1670347980
354,pangai,-19.8,-174.35,26.06,83,75,2.57,TO,1670348220
355,chapais,49.7834,-74.8492,-3.12,92,100,3.26,CA,1670348221
356,napier,-39.4833,176.9167,14.04,75,100,1.79,NZ,1670348221
357,sao joao da barra,-21.6403,-41.0511,27.05,83,100,7.55,BR,1670348222
358,marawi,7.9986,124.2928,19.48,93,94,0.81,PH,1670348222
359,oktyabrskoye,43.0645,44.7417,-3.92,93,100,6.0,RU,1670348223
360,galveston,29.3669,-94.9669,26.77,88,40,6.17,US,1670347926
361,zemio,5.0314,25.1361,25.22,43,11,1.1,CF,1670348223
362,sabha,27.0377,14.4283,22.5,15,3,4.58,LY,1670348224
363,kaitangata,-46.2817,169.8464,7.22,75,21,3.95,NZ,1670348224
